modelo,precision,recall,f1,ap,aucroc,thr,fp_auto,fp_manual,fn,tp,tn,fn_amount_sum,cost_fn,cost_fp_auto,cost_fp_manual,coste,ok_thr
RF Optimizado,0.03569553805774278,0.918918918918919,0.06872157655381506,0.8207724623902469,0.9742106885007993,0.009821428571428571,2528,1146,12,136,81621,1820,10585,101.12,4584.0,15270,True
LightGBM,0.03443708609271523,0.8783783783783784,0.0662758093295947,0.7944992327141316,0.935904404903174,3.714836615279821e-08,2755,890,18,130,81650,2170,14406,110.2,3560.0,18076,True
XGBoost,0.014821923651098315,0.9391891891891891,0.029183287843795924,0.8259081017192293,0.9765146558129734,0.000916794000659138,7124,2115,9,139,76056,1693,9520,284.96,8460.0,18265,True
LogisticReg,0.02555726364335127,0.8986486486486487,0.049701046337817634,0.6972294772884343,0.9667866926073737,0.28082261349853166,3926,1145,15,133,80224,3062,17554,157.04,4580.0,22291,True
RF Baseline,0.06484295845997974,0.8648648648648649,0.12064090480678606,0.8227019062855184,0.9307394606635477,0.01,1284,562,20,128,83449,5042,28363,51.36,2248.0,30662,True
