modelo,precision,recall,f1,ap,aucroc,thr,fp_auto,fp_manual,fn,tp,tn,fn_amount_sum,cost_fn,cost_fp_auto,cost_fp_manual,coste,ok_thr
RF Optimizado,0.03569553805774278,0.918918918918919,0.06872157655381506,0.8207724623902468,0.9742106885007991,0.009821428571428571,2315,1359,12,136,81621,1820,10945,69.45,6455.25,17470,True
LightGBM,0.03443708609271523,0.8783783783783784,0.0662758093295947,0.7944992327141316,0.935904404903174,3.714836615279821e-08,2593,1052,18,130,81650,2170,14247,77.78999999999999,4997.0,19322,True
XGBoost,0.014821923651098315,0.9391891891891891,0.029183287843795924,0.8259081017192293,0.9765146558129734,0.000916794000659138,6839,2400,9,139,76056,1693,9961,205.17,11400.0,21566,True
LogisticReg,0.02555726364335127,0.8986486486486487,0.049701046337817634,0.6972294772884343,0.9667866926073737,0.28082261349853166,3665,1406,15,133,80224,3062,18242,109.95,6678.5,25030,True
RF Baseline,0.06484295845997974,0.8648648648648649,0.12064090480678606,0.8227019062855184,0.9307394606635477,0.01,1189,657,20,128,83449,5042,29674,35.67,3120.75,32831,True
